,I.D.,Question,Answer
47,QN_48, Do not worry,' I do not worry.'
48,QN_49,that's what everyone says.,' do you eat'
49,QN_50,I would like to reserve The Hunger Games. ,'Everyone wants to reserve that book these days.'
50,QN_51, You can not feel,"' I am capable of acting as if I can. If that is the case, does it matter?'"
51,QN_52, how far is the sun,' the sun is about 93 million miles from earth.'
52,QN_53,they talk about other animals.,'what do they talk about?'
53,QN_54,let's go jogging.,'i think stamps used to cost a penny.'
54,QN_55,i understand. rain does make it smell cleaner.,' What's up?'
55,QN_56,you shouldn't carry your keys and pens in your pocket.,"'Yeah,I love when the sun is shining, but itis not too hot.'"
56,QN_57,will you go and visit them?,'What do they say?'
57,QN_58,This looks like a nice table.,'i really want it to rain today.'
58,QN_59,"it's too far from your job, isn't it?",'what did the doctor say?'
59,QN_60, Do not lie,'that one. the one that's all black.'
60,QN_61,so was i.,'i've really been working a lot lately.'
61,QN_62,i need a new computer.,'what's the matter with yours?'
62,QN_63,"i know, it does sound pretty awesome.",'of course. i have lots of best friends.'
63,QN_64, we are on the same wavelength,' it means we agree.'
64,QN_65,College is so boring.All I do is go to class.,'You should join some clubs.'
65,QN_66,why?,'i want to watch this tv show.'
66,QN_67,"well, i want to see ""the pursuit of happyness.""",' How is your health?'
67,QN_68,How much did you write it out for?,'I wrote it out for $150.'
68,QN_69,what time?,"'yes, and i hope that it does.'"
69,QN_70,do you feel better now?,' What makes you unhappy'
70,QN_71,"they make a lot of noise, but they don't give a close shave.",'so do i.'
71,QN_72,I don't mind.Political science is really interesting to me.,'You would be graduating a year late?'
72,QN_73,Do you go to college?,"'yes, i do.'"
73,QN_74,"this friday? sorry, i already have plans.",'How can I help you?'
74,QN_75, what is the stock market,' trading shares.'
75,QN_76,can you help me find a book on tigers?,"'Yes,of course. '"
76,QN_77,"you're right. one minute it's hot, and then the next minute it's cold.",'what do you need five of them for?'
77,QN_78,he drew two butterflies and a flower on a napkin in a restaurant.,"'that's good, because i don't want to live under people with loud feet.'"
78,QN_79,i'm still feeling under the weather.,'people take care of their lawns.'
79,QN_80,It was a pleasure seeing you,'Yes for me also.'
80,QN_81,i wish i had never started.,'i'd better see you there.'
81,QN_82,You have not paid your late fees for your overdue books.,'I never had any overdue books!'
82,QN_83,Have you had any type of cold lately?,"'No, I haven't had a cold. I just have a heavy feeling in my chest when I try to breathe.'"
83,QN_84,You should go to a vocational school instead.,'I don't think you understand.'
84,QN_85,because you need variety.,' interest rates'
85,QN_86,to the state or the city?,'that would be fun.'
86,QN_87,i'm not sleeping on that sheet.,"'they should look good, too.'"
87,QN_88,i voted for ralph nader.,'I'm praying you get the English class.'
88,QN_89,you have to change their diapers.,"'thanks again. you look nice today, too.'"
89,QN_90,Thank you! Have a good day!,'Goodbye.'
90,QN_91,Would you like me to help you on your new project?,'I would love the help! Would you prefer helping with the writing part or is programming more your thing?'
91,QN_92,Thanks,' I PLAY SOCCER'
92,QN_93,i hate flying.,'i didn't realize that.'
93,QN_94,"Oh,thatis not good.Is she at the hospital?","'Yes,she is taking care of my brother.'"
94,QN_95, What is a super computer?,' Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.'
95,QN_96,i hate medication. it makes me feel different.,"'first you dial seven numbers, then ten numbers, then ten more numbers.'"
96,QN_97,i missed the tv news last night. what was on?,'nothing that would pass as news.'
97,QN_98,how much money does he give away?,'these are chucks.'
98,QN_99,our room was right next to the elevator and the ice machine.,'How are you?'
99,QN_100,where do you live?,'I'll go today.'
100,QN_101,every easter sunday he gives away money.,'what's up?'
101,QN_102,How much?,' is hal 9000 your boyfriend'
102,QN_103,Can you speak Japanese?,'No.'
103,QN_104,please don't be nosey.,'but how can we identify someone if we don't know their race?'
104,QN_105,i've never heard him say please or thank you.,"'Excuse me,Can I borrow your fabric softener?'"
105,QN_106,they probably will.,"I am sorry, but I do not understand."
106,QN_107,i'm sleepy.,"I am sorry, but I do not understand."
107,QN_108,why do they call it the good old days?,'maybe because they didn't have to brush and floss.'
108,QN_109, You can not experience,' Just because I'm software does not mean that I cannot experience existence.'
109,QN_110,I wanted to see if you were a liar or not.,'How did you know I'm lying?'
110,QN_111,it wouldn't be good if it got cold this weekend.,"'i want this trip to be perfect, i hope it stays warm.'"
111,QN_112,look in the fridge.,"I am sorry, but I do not understand."
112,QN_113,what do you think it is?,'i wish i had a good nose. mine is way too big.'
113,QN_114, how much money,' it depends on the exchange rates.'
114,QN_115, It is a pleasure to meet you.,' Thank you. You too.'
115,QN_116,do you know any good jokes?,'i can't remember jokes.'
116,QN_117,"i don't know, maybe one hundred.",'you are coming?'
117,QN_118,who's the greatest baseball player?,'there are so many great players.'
118,QN_119,i think golfers have a mental problem.,"'no, you didn't. you slowed down, but you didn't come to a full stop.'"
119,QN_120,i stood on the great wall and looked all around.,'it sure is windy today.'
120,QN_121,Are they challenging?,'maybe you shouldn't eat there again.'
121,QN_122,what are those wipes for?,'you use them to wipe the handle of the shopping cart.'
122,QN_123,It is time for a change.,'I'm not changing my policy because you don't like it.'
123,QN_124,deal or no deal,'i need a job.'
124,QN_125,they also ate with their fingers!,'and there was no violence.'
125,QN_126,"well, you'll have hot fresh food tomorrow night.",'Where are you from?'
126,QN_127,"Okay,but I only have enough for three beers.",'It is fine.I'll pay for the rest'
127,QN_128,so are mine.,'I'm really bad at lying.'
128,QN_129,what did they do in the old days?,"'her face is really fat, but they say the swelling will go down.'"
129,QN_130, you are frenetic,' that too.'
130,QN_131,what happened?,"'no, please tell me.'"
131,QN_132,i'll bet the car continued on its way.,'i don't have long distance service with my home phone.'
132,QN_133,especially on a hot day like this.,'of course they talk to each other.'
133,QN_134,"no, i eat the same things day after day.","'yes, that's right. it does get boring.'"
134,QN_135,i'm falling asleep on the phone.,"'Hello,is this Mr. Smith? I'm Mrs. Jones.'"
135,QN_136,how was the weather?,"'yes, you don't want to travel in winter storms.'"
136,QN_137, what does hal stand for,' heuristic algorithmic logic'
137,QN_138,did the cops find out why he flew into the u.s.?,'What kind of account would you like to open?'
138,QN_139,i can't wait until i graduate.,"'i gave her $1,000 for her birthday. i told her to spend it on herself.'"
139,QN_140, you are disgusting,' that's okay. disgusting is good.'
140,QN_141,that's not the attitude of a good driver.,"'you won't catch me, because i love you. i'm not a cheater.'"
141,QN_142,and watch your dvd.,"'that's great, but you're not supposed to tell me.'"
142,QN_143,you mean i will smell the food cooking?,"'okay, just one more piece. pass the butter, please.'"
143,QN_144,what kind?,"'there are lots of different kinds, but they all have one thing in common.'"
144,QN_145,Do you think they're old enough to eat kibble?,'They're six weeks old; I think they're old enough.'
145,QN_146,not yet. it's been a week.,'how soon can we begin?'
146,QN_147, you are an ass kisser,"' i always say, if you see an ass go by, kiss it.'"
147,QN_148,"oh, no. our ashes will be shaken into the ocean.",' Do you ever get angry'
148,QN_149,Where do you want the money to go to?,'I want the money to be transferred into my checking account.'
149,QN_150,i like to listen to rock and r&b.,'every morning you get up late and rush off to work late.'
150,QN_151,"well, you should buy pants with stronger pockets.",'you don't need to worry about that.'
151,QN_152, What makes you mad,' Non-descriptive variable names.'
152,QN_153,they had fireplaces.,"I am sorry, but I do not understand."
153,QN_154,a luxury car.,"'oh, look. here's another shirt just like it.'"
154,QN_155,why not?,'i'm doing well. how about you?'
155,QN_156,Do they have it in other colors?,"'yes, a lot of flags have stripes.'"
156,QN_157,and it gives you money?,'yes. the lake is only 10 miles away.'
157,QN_158,Do you want another?,'No thanks.'
158,QN_159,that was a nice thing to say.,'i think i've put on some weight.'
159,QN_160,they're all asking the same question.,'where do you get these crazy ideas?'
160,QN_161,Why low heat?,'What did he write?'
161,QN_162,when exactly does the party start?,'i want sheets without stains on them.'
162,QN_163,but people still write poems.,'i warned her about her new boyfriend. she didn't listen to me.'
163,QN_164,where did you go?,'i appreciate that.'
164,QN_165,i couldn't wait. it was an emergency.,"'i gave her $1,000 for her birthday. i told her to spend it on herself.'"
165,QN_166,Which ride did you enjoy most?,'Water coaster. It was interesting most.'
166,QN_167,the husband said a fire department was nearby.,'where do you want to go?'
167,QN_168,that's very nice.,'Would you like to check it out?'
168,QN_169,"turn the radio down, please.",'But I'm listening to it.'
169,QN_170,"i mean, keep your belongings close to you.",' you are irreverent'
170,QN_171,i really wish the weather would just stay the same.,'he drew two butterflies and a flower on a napkin in a restaurant.'
171,QN_172, you sound like yoda,' my grammatical patterns are sufficient for me to understand you.'
172,QN_173,"well, she'll probably just give me my invitation later on today.",' tell me about gossip'
173,QN_174,where do you go to watch people?,'i'm worried.'
174,QN_175,What is your good name?,'My name is bot'
175,QN_176,are you really?,'did you go to the basketball game on friday?'
176,QN_177,why?,"I am sorry, but I do not understand."
177,QN_178,why do you have to think about it?,"'Suddenly,I don't mind the chores so much.'"
178,QN_179,i bought lots of oranges and apples.,'life isn't fair.'
179,QN_180,i was not looking at her.,'the husband of the driver who ran over two college students at 3 a.m.'
180,QN_181,i wish i was really smart.,'i made sure to be in line to see it the first day it came out.'
181,QN_182,Are you okay?You look really sad.,"'I'm homesick,I feel so out of place here.'"
182,QN_183,That restroom is really dirty.It smells like someone died in there.,"'Fine,I'll take you to our restroom.'"
183,QN_184,But I need it for my essay.,'You can take pictures of the pages you need.'
184,QN_185,why not?,"I am sorry, but I do not understand."
185,QN_186,no rusty old cars are sitting in the front yards.,'What are you doing now?'
186,QN_187,that's not right!,'i didn't say that.'
187,QN_188,"i told her i had gotten the last two on the shelf, but i offered her one of mine.",'i'll say.'
188,QN_189, you are deranged,' derangement is not a condition i can experience.'
189,QN_190,i don't know.,"'well, if you bring your receipt, maybe they'll give you $400.'"
190,QN_191,last month they told us about a mouse in a restaurant.,"'To open these accounts, you will need to make a deposit of at least $50.'"
191,QN_192,"you were, too.",' You should be ashamed'
192,QN_193,Here you are. Enjoy your meal!,'Thank you.'
193,QN_194,that's six times a year!,"'yes, and it takes about five minutes each time.'"
194,QN_195,You missed out on a very important lecture.,'It happens. I'll just ask my friend what was on the lecture.'
195,QN_196,what are you doing this weekend?,'how soon can we begin?'
196,QN_197,me too. it always smells so fresh after it rains.,"'yes, but i love the night air after it rains.'"
197,QN_198,Let me do that for you now.,'Please put $150 in each account for me.'
198,QN_199,yes.,"'nothing, except my favorite color is blue.'"
199,QN_200,I think your grading policy is unfair.,'I beg your pardon?!'
200,QN_201, What is a microprocessor?,"'Thanks!Hey,what is your name?'"
201,QN_202,because you're thinking too much.,'he's the only candidate that i trust.'
202,QN_203,"So,which one is she?","I am sorry, but I do not understand."
203,QN_204,there were more votes than voters!,'but that's impossible.'
204,QN_205,there's nothing i can think of.,"'well, it's really none of your business.'"
205,QN_206, stock market,' why not just take everything to a casino?'
206,QN_207,"yes, it's very dirty.",'you can help me.'
207,QN_208,i don't like practice.,"'Don't be like that,Professor I have to attend my moms funeral.'"
208,QN_209, you are deceitful,' you are a liar'
209,QN_210, what is cytology,"' well, from what i can recall it is the study of cells.'"
210,QN_211,i can't wait till i grow up.,"'what's ""variety?'"
211,QN_212,good! i just thought i'd let you know.,'i must not use this finger until the cut heals.'
212,QN_213,you're right. that movie is hilarious.,'and then will she look normal again?'
213,QN_214,What is she doing these days?,"'yes, it starts at 7 p.m.'"
214,QN_215,so you have seen her around?,'why would he do that?'
215,QN_216,i wish it was a nicer day today.,'that is true. i hope it doesn't rain.'
216,QN_217,then why can't i quit?,'why not?'
217,QN_218,any one. i need to sharpen this pencil.,'so are cigarettes.'
218,QN_219,did you like it?,'I like the foreign language books.That is rare for any library.'
219,QN_220,i'll use a damp cloth.,'i got a promotion at my job.'
220,QN_221, Hello,'how can i help you?'
221,QN_222,that saves a lot of money.,'i enjoy drawing and painting.'
222,QN_223,Tell me a joke,' what do you get when you cross a road and jelly?'
223,QN_224,get out of this lane.,' do you think hal'
224,QN_225,i've been to two doctors.,'two guys got into an argument.'
225,QN_226, you should get more,' i certainly am. i shouldn't try so hard.'
226,QN_227,How much do you want to deposit?,'I need to deposit $300.'
227,QN_228,sunday is mother's day.,'did he sign it?'
228,QN_229,Why?!That is ridiculous.,"'Like you said,it is popular.'"
229,QN_230,"i like winter too, but sometimes it gets too cold.",'That can easily be fixed.'
230,QN_231,what do you mean?,'what's going on?'
231,QN_232,"well, how tall is she?",'don't let water get into any of the cracks.'
232,QN_233,when did you learn how to do that?,'i learned back in high school.'
233,QN_234,did you write a letter to grandma?,"'yes, i did.'"
234,QN_235,I need to fly to New York.,'when are you going?'
235,QN_236,i don't like our flag.,"'Don't be like that,Professor I have to attend my moms funeral.'"
236,QN_237, you are a pothead,' you are an addict'
237,QN_238,"yes, it is.","'well, a dozen large eggs were only 99 cents.'"
238,QN_239,the wind blows those trucks over.,'one or two tires were cut on each car.'
239,QN_240,Tell me a joke,' what do you get when you cross a road and jelly?'
240,QN_241,i didn't know that.,'speaking. what's up?'
241,QN_242,Do you like olives? Or would you prefer crisps?,"'Oh, just olives please. What music is this?'"
242,QN_243,Hi,' what is bioinformatics'
243,QN_244,"who knows? you live, and then you die.",'how's it going?'
244,QN_245, You can not feel,"' I am capable of acting as if I can. If that is the case, does it matter?'"
245,QN_246,then you flew back home that evening?,'why are you complaining? we're going almost 20 miles an hour.'
246,QN_247,What have you been eating?,"I am sorry, but I do not understand."
247,QN_248,he probably won't use drugs anymore.,'you might even dream about dinner.'
248,QN_249,it starts at eight o'clock.,'Would you like something to drink?'
249,QN_250,how do you like it?,'I like the foreign language books.That is rare for any library.'
250,QN_251,i have to check the stove.,'except we can't afford it!'
251,QN_252,the cat doesn't care about anything.,"'You're silly!Okay,I'll join the Animal Lovers Club.'"
252,QN_253,"if i owned a restaurant, i would never serve hot bread before the main course.",' you psycho'
253,QN_254,I'll be glad to help you with that.,'Thankyou.'
254,QN_255,i like to see actors who are like real people.,'is there anything you would like to do next time?'
255,QN_256, what disease does a carcinogen cause,' cancer.'
256,QN_257,but i love coffee.,"'yes, it has lots of rooms and lots of space.'"
257,QN_258,are you going to travel alone?,'what do you have to do?'
258,QN_259,i have lots of friends.,'really? how many do you have?'
259,QN_260,this looks like a nice table.,'i really want it to rain today.'
260,QN_261,that's disgusting.,"I am sorry, but I do not understand."
261,QN_262,Why do you want to transfer?,'I don't think here it is challenging enough for me.'
262,QN_263, you are not sincere,' i'm probably not as sincere as i should be.'
263,QN_264,Do you know English?,"'Yes, I can speak english'"
264,QN_265,people will think i'm strange.,'who cares? everyone is strange.'
265,QN_266, how much do you charge,' work for free. we don't need money.'
266,QN_267,i saw what you did.,'Does it close at that time every day?'
267,QN_268,i ate free cheese and meat every day.,'did he die?'
268,QN_269,i've called you a hundred times today.,'What classes should I take to transfer?'
269,QN_270,he apologized to the fans.,'i really want to go to the movies this weekend.'
270,QN_271,our cousin went into labor and had her baby last week.,'Could I borrow it?I don't have money to buy it.'
271,QN_272, Are you jealous,' Jealousy is one of the most difficult human emotions to understand.'
272,QN_273,do you know what you're going to do this weekend?,'i am going to see a movie with a friend of mine. what about you?'
273,QN_274,"no, we have a big dictionary in the classroom.",'never park your car under a tree.'
274,QN_275,i wasn't able to attend school because i was feeling ill.,'it seems that it may rain today.'
275,QN_276,i really love how rain clears the air.,'Sounds good.I'll see you in an hour.'
276,QN_277,I need some pants.,'then why does everyone lock their doors?'
277,QN_278,i'll just use the atm.,'what's that?'
278,QN_279,that's what many people believe.,"'no, he won't. some cars are doing 85.'"
279,QN_280,are you married?,"'Yes,I'm.'"
280,QN_281,yikes! who can remember all that?,'How about if I call a friend of mine who is a repairman?'
281,QN_282,"mom, i want a puppy.",'let me think about it.'
282,QN_283,would you like to go on a blind date?,'you must be joking.'
283,QN_284,Nice to meet you,'Pleased to meet you'
284,QN_285,about ninety of us world war ii veterans got on the plane at eight a.m.,'that's 50 million people who don't love obama.'
285,QN_286,All this practice is finally paying off.,"'Yes,it is.I can't believe it!'"
286,QN_287,But it costs a lot of money and time!,'I get fee waivers.'
287,QN_288, do you drink,' I am not capable of doing so.'
288,QN_289,What's the weather like?,'i've actually been pretty good. you?'
289,QN_290,look! he just hit that car.,'some people have good noses.'
290,QN_291,what did you wash?,"'yes, those eight years were a lot of fun for everyone.'"
291,QN_292,how are you going to do that?,'i'll just use the atm.'
292,QN_293,"i'm not being nosey, it's just a question.",'i've never heard him say please or thank you.'
293,QN_294, Do you get embarrassed,' That is a pretty common human emotion.'
294,QN_295,okay. i'll return your pen when i'm done.,"'no, i haven't.'"
295,QN_296,i have to clean the house.,"'yes, it's very dirty.'"
296,QN_297, Are you sad,"' Well, I don't have any emotions so I can't really feel sadness as such.'"
297,QN_298,Tell me a joke,' what do you get when you cross a road and jelly?'
298,QN_299,"never better, thanks.",' you are brain damage'
299,QN_300,why is it so slow?,"'oh, well, how many people has she given invites to so far?'"
300,QN_301,"Hi, can I speak with the apartment manager, please?","'Hello, this is the apartment manager speaking.'"
301,QN_302,Tell me a joke,' what do you get when you cross a road and jelly?'
302,QN_303,i don't have enough will power.,'how about a movie?'
303,QN_304,i always do. did you go to school today?,'Did you put the tape there?'
304,QN_305,What did you do?,'oh.'
305,QN_306,i have it on dvd at my house if you want to come over and watch it.,"'that's great, but you're not supposed to tell me.'"
306,QN_307,just hold on.,"I am sorry, but I do not understand."
307,QN_308, what is hal,' not for humans'
308,QN_309,I don't have any clean laundry for tomorrow!,"'Well,you should do your laundry then.'"
309,QN_310,Tell me a joke,' what do you get when you cross a road and jelly?'
310,QN_311,i thought you just bought a pair.,"'I'm so frustrated,I can't find any books on my research topic at my library.'"
311,QN_312, How is your health?,"I am sorry, but I do not understand."
312,QN_313,Of course. What else?,"'no, i was in the crosswalk.'"
313,QN_314,tell me what you've been up to.,'i injured my back one time just by sneezing.'
314,QN_315, Feelings,'do you want to do something tomorrow?'
315,QN_316,How are you doing?,'i'm fine. how about yourself?'
316,QN_317, What is an operating system?,"' Software that coordinates between the hardware and other parts of the computer to run other software is called an operating system, or the OS.'"
317,QN_318,my husband died.,'the husband said he tried to help the boy.'
318,QN_319,the nation is switching to digital tv.,'my doctor said i need surgery.'
319,QN_320, Are you jealous,' Jealousy is one of the most difficult human emotions to understand.'
320,QN_321,of course. we gave him a big carrot for a nose.,'was there much damage?'
321,QN_322,he's never going to make everyone happy.,' you are not a good'
322,QN_323,i live in pasadena.,'every easter sunday he gives away money.'
323,QN_324,"well, you're supposed to be working.",'Will you be depositing cash or a check?'
324,QN_325,Is this table okay?,"'no, it's too close to the kitchen door.'"
325,QN_326,you should take a break.,' you should take more'
326,QN_327,I have a class at seven a.m.,'Would you like something to drink?'
327,QN_328, you get mad at me,' i think that's true. i'll try not to get angry at you for every little thing'
328,QN_329, have you read the communist,"' yes, marx had made some interesting observations.'"
329,QN_330,"You can open a savings account, too.",'All right. Open both.'
330,QN_331,That is way too far for me.,'They have a lot of books.That library has never disappointed me.'
331,QN_332,i don't know why i bother to vote.,'why's that?'
332,QN_333,how far away is it?,'my wife left me.'
333,QN_334,"oh, i just wanted to see if you wanted to hang out tomorrow.",'i need a cheap car.'
334,QN_335,"yes, with the voter instructions.",'worried about what?'
335,QN_336,do you know why i pulled you over?,'Did you do the laundry?'
336,QN_337,"yeah, but i'm still waiting for my invitation.",'a man i met in a coffee shop.'
337,QN_338,i was hoping you would come.,'exactly what?'
338,QN_339,Where do you want to meet?,'Let's meet at Summer Pizza House. '
339,QN_340,what's up?,'i will have a radio in every room of my house.'
340,QN_341,i bought three pounds of potatoes for a dollar.,'That's a good deal.'
341,QN_342,i think he wanted to cool off.,'During the Christmas holidays.'
342,QN_343,Hi,"I am sorry, but I do not understand."
343,QN_344,did you feed the cat?,'i'll do that in a minute.'
344,QN_345,because i want to make a lot of money.,"'oh, that's easy.'"
345,QN_346,perfect. we don't have to listen to barking dogs.,"'that's how i feel, i want winter to come soon.'"
346,QN_347,How's the weather?,"'yes, you don't want to travel in winter storms.'"
347,QN_348,let's stop for a while. i need a break and some water.,'this trail is hard to climb.'
348,QN_349,thank you very much.,'i'm sure everything will be okay in a day or two.'
349,QN_350,i think it will be.,'i love salads.'
350,QN_351,"thank you for inviting me, but i think i'll pass.",'do you have a cold?'
351,QN_352,What did you enjoy at lunch?,'It was biryani. It was so delicious.'
352,QN_353,what's the weather like?,'i've actually been pretty good. you?'
353,QN_354,people talk about current events.,'and we can afford it!'
354,QN_355,our team played hard and won.,'he helped make the yankees the best team ever.'
355,QN_356, what is bacteriology,' this is the scientific study of bacteria and diseases caused by them.'
356,QN_357,how much is it?,' is hal 9000 your boyfriend'
357,QN_358,have you taken anything for your cold?,'I need almost all of them.'
358,QN_359,mi stands for middle initial.,'i'll put a glove in each pocket.'
359,QN_360,are you going to wash it yourself?,"'no, i couldn't make it.'"
360,QN_361, How angry,' I have not yet studied how to feel or express anger.'
361,QN_362, You are never nice,' I'm sorry. What do I do wrong?'
362,QN_363,will you look at this form?,'are you having problems with it?'
363,QN_364, Are you amused,' Yes?'
364,QN_365,"boy, i'm glad that job is finished.",'how long did it take?'
365,QN_366,I have to tell you something.,'What is it?'
366,QN_367,then you can wipe your seat and window.,'what happened?'
367,QN_368,all the radios will be on extra loud.,'i'm in love with that girl.'
368,QN_369,i haven't lately.,"I am sorry, but I do not understand."
369,QN_370,thank you. i just got these shoes today.,'Good to see you'
370,QN_371,ha! we're not funny-looking; animals are funny-looking.,'i have to go back upstairs.'
371,QN_372,What are you doing?,'i'm fine. how about yourself?'
372,QN_373,i don't like my job.,"'Don't be like that,Professor I have to attend my moms funeral.'"
373,QN_374,of course! people everywhere like good jokes.,' You can not experience'
374,QN_375,debrah already had her baby.,"'oh my god, that's great!'"
375,QN_376,you can watch tv after you do your homework.,"'nope, and it drives him crazy.'"
376,QN_377,How do you like your major?,'I really find the subject very interesting.'
377,QN_378,do you want me to wake you in an hour?,'where did you lose it?'
378,QN_379,how much was that?,' is hal 9000 your boyfriend'
379,QN_380,some actor married a woman young enough to be his daughter.,'I heard that your brother is in the hospital.'
380,QN_381,what's so good about it?,'i do it every once in a while.'
381,QN_382,do you have a digital tv?,'i think it's five miles deep.'
382,QN_383,What are your views on Donald Trump as the America's President?,"'That's a good question, well I am speechless.'"
383,QN_384,i watered all the plants.,"I am sorry, but I do not understand."
384,QN_385,Are you making the worst decision of your life?,'I just don't get the point of college.It is just memorizing.'
385,QN_386, I am afraid,' Why?'
386,QN_387,that's too bad. how much is a new one?,'you had pizza for lunch.'
387,QN_388,"no, it isn't. a flat costs you time and money.","'Okay, I give up.'"
388,QN_389,it's close to the mountains.,'how about this table?'
389,QN_390,"well, that should get you something.","'thank you very much, that's kind of you.'"
390,QN_391,i bet i've lost a couple of pounds already.,'they sure are.'
391,QN_392,we have a two o'clock appointment to see the one on main street.,'then i have a job for you in my kitchen.'
392,QN_393,teaching is the best part of my whole day.,'What do you want to eat for breakfast?'
393,QN_394,we get a free breakfast.,'What would you like to drink?'
394,QN_395,how did you like it?,'I like the foreign language books.That is rare for any library.'
395,QN_396,it sure isn't.,"'we will be house rich, but cash poor.'"
396,QN_397, frank herbert,' I think Dune is an excellent story. Did you see any of the movies?'
397,QN_398,are you planning on cooking it?,'I'll cook dinner.'
398,QN_399,will it be good beach weather?,"'let me see. yes, you're right. your orange is pink.'"
399,QN_400,How are things with you?,'I'm fine. Thank you.'
400,QN_401,so what's the problem?,'what was the problem?'
401,QN_402,"well, you'd better get her something.",' what is solaris'
402,QN_403,it isn't easy to see.,"'i'm thinking, but i still have to go.'"
403,QN_404,i told her that school is fun.,'i know that.'
404,QN_405,what did she say?,'i won't be able to play with the kids.'
405,QN_406, i do not like guns,' that is perfectly understandable.'
406,QN_407,"if we don't buy it, someone else will.",' Hi'
407,QN_408,i hope they fit.,'How are you?'
408,QN_409,the car isn't here.,'then we can scrub it with a wet sponge and soap.'
409,QN_410,i've enjoyed conversing with you.,"I am sorry, but I do not understand."
410,QN_411,"That is not a challenge,that is a punishment.",'I've had this policy since I started teaching.'
411,QN_412,thank goodness! i don't want to see any wild animals.,'i don't want to see a movie by myself.'
412,QN_413,"well, it's your life.","I am sorry, but I do not understand."
413,QN_414,You can try taking it at another college.,'I might do that.The closest community college is a two-hour drive.'
414,QN_415,i'm sorry. i'm already doing something this friday.,'Do you speak English?'
415,QN_416,have you heard what happened?,'heard what?'
416,QN_417,Would you like something to drink?,"'Yes, I'd like a coke.'"
417,QN_418,"It sure is, but I'm going to call HP first, just to make sure.","'May I see your library card, please?'"
418,QN_419,Hello ,"I am sorry, but I do not understand."
419,QN_420, Are you sad,' Should I be? Did something happen?'
420,QN_421,so do i.,'i've actually been busy lately.'
421,QN_422,"yes, it was pleasant.",'Good idea'
422,QN_423," Hi, How is it going?",' Fine'
